Year,OHC0-700m,Smoothed OHC0-700m,"Error, 95% CI OHC0-700m",OHC700-2000m,Smoothed OHC700-2000m,"Error, 95% CI OHC700-2000m",OHC0-2000m,Smoothed OHC0-2000m,"Error, 95% CI OHC0-2000m",OHC2000-6000m,Smoothed OHC2000-6000m,"Error, 95% CI OHC2000-6000m"
1995,-11.366666666666667,-11.175833333333335,1.5475,-5.173333333333333,-5.110833333333333,1.5425000000000002,-16.543333333333333,-16.285833333333333,2.1774999999999998,-1.7641666666666664,-1.7691666666666668,0.7416666666666667
1996,-9.575833333333334,-9.711666666666668,1.5116666666666667,-4.555833333333333,-4.56,1.595,-14.131666666666666,-14.2725,2.1533333333333333,-1.6316666666666668,-1.6966666666666665,0.7883333333333334
1997,-10.281666666666666,-10.309166666666668,1.38,-4.179166666666666,-4.215833333333333,1.6908333333333332,-14.461666666666666,-14.5225,2.275,-2.3066666666666666,-2.2341666666666664,1.0116666666666667
1998,-8.829166666666667,-8.989166666666668,1.2125000000000001,-4.0616666666666665,-4.039166666666667,1.5716666666666665,-12.888333333333334,-13.025,2.0341666666666667,-2.2841666666666667,-2.2808333333333333,1.0008333333333332
1999,-7.3758333333333335,-7.383333333333333,1.405,-3.59,-3.5925,1.6016666666666666,-10.965833333333334,-10.975,2.1,-2.2758333333333334,-2.2741666666666664,0.9741666666666666
2000,-7.577500000000001,-7.5616666666666665,1.4483333333333333,-3.5508333333333333,-3.560833333333333,1.5883333333333336,-11.128333333333332,-11.119166666666667,2.120833333333333,-2.3158333333333334,-2.2908333333333335,0.8775
2001,-7.079166666666667,-6.925833333333333,1.5966666666666667,-3.486666666666667,-3.466666666666667,1.4991666666666665,-10.566666666666666,-10.391666666666667,2.098333333333333,-1.8891666666666669,-1.9124999999999999,0.8116666666666666
2002,-4.740833333333334,-4.641666666666667,1.6025,-3.060833333333333,-3.0375,1.3325,-7.803333333333334,-7.678333333333334,1.9525,-1.5866666666666667,-1.5808333333333333,0.7366666666666667
2003,-2.279166666666667,-2.6041666666666665,1.3625,-2.4458333333333333,-2.4808333333333334,1.115,-4.7250000000000005,-5.085833333333333,1.6749999999999998,-1.2708333333333333,-1.2725,0.6808333333333333
2004,-3.1474999999999995,-3.0625,0.8958333333333334,-2.3141666666666665,-2.3525,0.9866666666666667,-5.461666666666666,-5.414166666666667,1.3216666666666665,-0.9933333333333333,-0.9941666666666666,0.6266666666666666
2005,-2.513333333333333,-2.42,0.6541666666666667,-2.2399999999999998,-2.158333333333333,0.84,-4.755833333333333,-4.5808333333333335,1.0358333333333334,-0.7716666666666666,-0.7675000000000001,0.5633333333333334
