Year,SSL0-300m,"SSL0-300m, 95%CI",SSL0-700m,"SSL0-700m, 95%CI",SSL0-2000m,"SSL0-2000m, 95%CI"
1997,-8.275,0.4808333333333334,-12.148333333333333,0.6966666666666667,-15.387500000000001,1.6341666666666665
1998,-6.75,0.405,-10.0175,0.5575,-12.67,1.3891666666666669
1999,-6.355,0.4708333333333334,-8.655,0.62,-11.144166666666665,1.38
2000,-6.984999999999999,0.5491666666666667,-10.474166666666667,0.6691666666666666,-13.166666666666666,1.3191666666666666
2001,-6.141666666666667,0.4166666666666667,-9.148333333333333,0.6041666666666666,-11.659999999999998,1.1624999999999999
2002,-4.389166666666667,0.48583333333333334,-6.514166666666667,0.6625,-8.6775,1.2008333333333334
2003,-2.8966666666666665,0.47583333333333333,-4.245833333333334,0.7183333333333333,-6.179166666666667,1.2133333333333334
2004,-2.670833333333333,0.3666666666666667,-4.8675,0.585,-6.869166666666666,1.0491666666666666
2005,-2.796666666666667,0.3983333333333334,-4.399166666666667,0.6266666666666666,-6.1691666666666665,1.1058333333333332
2006,-0.9833333333333334,0.41,-1.5525,0.5741666666666666,-2.6366666666666667,1.0041666666666667
2007,-2.6591666666666667,0.42,-3.48,0.5441666666666667,-4.7316666666666665,0.9441666666666667
2008,-2.1683333333333334,0.405,-2.9725,0.5341666666666667,-3.6166666666666667,0.92
2009,0.20416666666666664,0.3983333333333334,-0.10499999999999998,0.5083333333333333,-0.4666666666666666,0.8541666666666666
2010,-0.8841666666666667,0.38083333333333336,-1.3408333333333333,0.4816666666666667,-1.5216666666666665,0.7925
2011,-0.43416666666666665,0.39749999999999996,-0.7816666666666667,0.5358333333333333,-0.8458333333333333,0.8791666666666668
2012,0.83,0.38666666666666666,1.0683333333333334,0.47833333333333333,1.5716666666666665,0.8191666666666667
2013,1.5083333333333335,0.36916666666666664,2.1733333333333333,0.45916666666666667,2.7725000000000004,0.8175
2014,1.4416666666666667,0.41083333333333333,2.299166666666667,0.515,3.5516666666666663,0.8583333333333334
2015,3.1425,0.4075,4.6883333333333335,0.5366666666666667,5.924166666666667,0.8858333333333334
2016,2.5483333333333333,0.42166666666666663,3.605,0.5650000000000001,4.560833333333334,0.9691666666666666
2017,3.6733333333333333,0.41583333333333333,5.220833333333333,0.5233333333333333,6.5058333333333325,0.9408333333333333
2018,3.0233333333333334,0.1725,3.9774999999999996,0.26,4.460833333333333,0.47833333333333333
2019,5.244166666666667,0.2125,6.484999999999999,0.3075,7.158333333333334,0.5833333333333334
2020,5.0225,0.24250000000000002,6.415833333333333,0.31916666666666665,7.3625,0.6141666666666666
2021,5.335833333333333,0.25333333333333335,7.264166666666667,0.3541666666666667,8.6425,0.6808333333333333
2022,5.988333333333333,0.265,7.953333333333333,0.37083333333333335,8.838333333333333,0.7599999999999999
2023,7.316666666666666,0.29,9.416666666666666,0.39,10.828333333333333,0.88
